Song,Mood,Time,Activity,Energy,Tempo,Recommendation_Label
Shape of You,Sad,Morning,Workout,0.89,61,833
Paint The Town Red - Doja Cat,Calm,Night,Workout,0.39,91,834
Yo Mann Ta Mero Nepali Ho,Happy,Morning,Relaxing,0.79,105,835
Blinding Lights,Happy,Night,Chilling,0.53,85,836
Bekhayali,Happy,Evening,Studying,0.44,94,837
Sannani - VTEN,Happy,Evening,Chilling,0.69,74,838
Maya Pirati - Swoopna Suman,Sad,Morning,Workout,0.54,70,839
As It Was - Harry Styles,Energetic,Morning,Chilling,0.96,116,840
Blinding Lights,Energetic,Night,Relaxing,0.53,80,841
Pasoori Nu - Satyaprem Ki Katha,Sad,Evening,Studying,0.71,89,842
Yo Mann Ta Mero Nepali Ho,Calm,Night,Studying,0.59,62,843
Tum Hi Ho,Sad,Night,Studying,0.82,107,844
Sa Karnali,Sad,Afternoon,Relaxing,0.74,113,845
Bekhayali,Energetic,Afternoon,Chilling,0.88,76,846
Dance The Night - Dua Lipa,Calm,Morning,Workout,0.57,129,847
Shape of You,Happy,Afternoon,Chilling,0.56,91,848
Kal Ho Naa Ho,Calm,Morning,Studying,0.73,103,849
Sannani - VTEN,Calm,Afternoon,Workout,0.79,123,850
Laija Re,Sad,Night,Studying,0.77,91,851
Heeriye - Jasleen Royal,Energetic,Afternoon,Workout,0.31,69,852
Jhoome Jo Pathaan - Pathaan,Happy,Evening,Studying,0.98,80,853
Tum Hi Ho,Energetic,Afternoon,Studying,0.79,87,854
Saili,Sad,Night,Relaxing,0.44,65,855
Pasoori Nu - Satyaprem Ki Katha,Calm,Evening,Studying,0.63,118,856
Anti-Hero - Taylor Swift,Energetic,Morning,Workout,0.56,88,857
Bekhayali,Happy,Night,Chilling,0.97,115,858
Apna Bana Le - Bhediya,Sad,Afternoon,Chilling,0.75,106,859
Heeriye - Jasleen Royal,Happy,Morning,Relaxing,0.56,111,860
Maya Pirati - Swoopna Suman,Calm,Afternoon,Relaxing,0.68,67,861
As It Was - Harry Styles,Calm,Evening,Chilling,0.53,72,862
Tera Ban Jaunga,Calm,Afternoon,Chilling,0.81,68,863
Jhoome Jo Pathaan - Pathaan,Happy,Evening,Workout,0.64,67,864
Senorita,Sad,Evening,Studying,0.83,120,865
Sa Karnali,Energetic,Evening,Chilling,0.81,67,866
Laija Re,Happy,Night,Workout,0.52,75,867
Senorita,Calm,Night,Workout,0.95,106,868
Je Chhau Timi - Sushant KC,Sad,Afternoon,Workout,0.95,91,869
Paint The Town Red - Doja Cat,Happy,Evening,Relaxing,0.38,81,870
Tera Ban Jaunga,Happy,Night,Studying,0.73,63,871
Paint The Town Red - Doja Cat,Sad,Evening,Relaxing,0.65,110,872
Blinding Lights,Energetic,Afternoon,Relaxing,0.98,121,873
Tere Vaaste - Zara Hatke Zara Bachke,Sad,Evening,Relaxing,0.55,116,874
Sannani - VTEN,Happy,Morning,Studying,0.49,129,875
Sannani - VTEN,Sad,Night,Workout,0.73,96,876
As It Was - Harry Styles,Sad,Morning,Studying,0.51,118,877
Kal Ho Naa Ho,Happy,Morning,Studying,0.91,120,878
Umer Jasto - Neetesh Jung Kunwar,Energetic,Morning,Relaxing,0.41,107,879
Farki Farki - Rohit John Chhetri,Happy,Afternoon,Studying,0.39,93,880
Farki Farki - Rohit John Chhetri,Calm,Afternoon,Workout,0.67,116,881
Heeriye - Jasleen Royal,Energetic,Night,Studying,0.3,100,882
Calm Down - Rema,Calm,Afternoon,Workout,0.45,83,883
Flowers - Miley Cyrus,Calm,Morning,Relaxing,0.43,130,884
Kal Ho Naa Ho,Happy,Evening,Relaxing,0.94,85,885
Memories,Calm,Evening,Chilling,0.48,94,886
Tum Hi Ho,Energetic,Afternoon,Chilling,0.73,99,887
Senorita,Sad,Evening,Chilling,0.37,94,888
Kesariya - Brahmastra,Happy,Evening,Studying,0.72,121,889
Calm Down - Rema,Calm,Evening,Relaxing,0.63,82,890
Memories,Calm,Afternoon,Workout,1.0,62,891
Calm Down - Rema,Happy,Afternoon,Studying,0.65,83,892
Calm Down - Rema,Energetic,Morning,Chilling,0.3,68,893
Calm Down - Rema,Energetic,Morning,Studying,0.99,83,894
Perfect,Energetic,Evening,Studying,0.85,111,895
Kal Ho Naa Ho,Calm,Morning,Relaxing,0.98,93,896
Bekhayali,Sad,Night,Relaxing,0.85,96,897
Saili,Calm,Afternoon,Workout,0.76,94,898
Tum Hi Ho,Energetic,Afternoon,Studying,0.63,74,899
Blinding Lights,Calm,Morning,Relaxing,0.78,124,900
Paint The Town Red - Doja Cat,Energetic,Afternoon,Chilling,0.82,91,901
Bekhayali,Calm,Morning,Relaxing,1.0,73,902
Shape of You,Energetic,Morning,Chilling,0.6,100,903
Flowers - Miley Cyrus,Happy,Night,Workout,0.99,119,904
Maya Pirati - Swoopna Suman,Calm,Morning,Chilling,0.61,74,905
Shape of You,Sad,Night,Chilling,0.73,89,906
Perfect,Calm,Night,Workout,0.8,96,907
Anti-Hero - Taylor Swift,Energetic,Morning,Workout,0.46,108,908
Flowers - Miley Cyrus,Energetic,Afternoon,Relaxing,0.84,87,909
Perfect,Calm,Morning,Studying,0.95,88,910
Timi Nai Hau,Happy,Night,Relaxing,0.51,68,911
Pasoori Nu - Satyaprem Ki Katha,Calm,Afternoon,Workout,0.35,99,912
Anti-Hero - Taylor Swift,Energetic,Morning,Studying,0.83,99,913
Dance The Night - Dua Lipa,Energetic,Night,Workout,0.92,89,914
Blinding Lights,Energetic,Morning,Studying,0.34,78,915
Umer Jasto - Neetesh Jung Kunwar,Energetic,Morning,Workout,0.53,109,916
Maya Pirati - Swoopna Suman,Calm,Night,Workout,0.5,74,917
Calm Down - Rema,Happy,Night,Workout,0.31,130,918
Pasoori Nu - Satyaprem Ki Katha,Happy,Night,Workout,0.82,114,919
Heeriye - Jasleen Royal,Sad,Afternoon,Workout,0.46,96,920
Pasoori Nu - Satyaprem Ki Katha,Sad,Morning,Chilling,0.35,124,921
Dance The Night - Dua Lipa,Happy,Evening,Studying,0.73,123,922
Timi Nai Hau,Energetic,Evening,Workout,0.8,99,923
Kal Ho Naa Ho,Sad,Night,Chilling,0.78,80,924
Je Chhau Timi - Sushant KC,Happy,Evening,Chilling,0.46,127,925
Paint The Town Red - Doja Cat,Energetic,Evening,Workout,0.91,88,926
Yo Mann Ta Mero Nepali Ho,Energetic,Morning,Studying,0.76,85,927
Shayad,Sad,Afternoon,Chilling,0.54,118,928
Yo Mann Ta Mero Nepali Ho,Sad,Morning,Workout,0.92,76,929
Saili,Calm,Morning,Relaxing,0.32,62,930
Heeriye - Jasleen Royal,Happy,Afternoon,Chilling,0.75,72,931
Anti-Hero - Taylor Swift,Happy,Evening,Workout,0.92,83,932
Kal Ho Naa Ho,Sad,Night,Workout,0.39,118,933
Farki Farki - Rohit John Chhetri,Energetic,Night,Relaxing,0.62,91,934
Sannani - VTEN,Energetic,Night,Relaxing,0.87,126,935
Sannani - VTEN,Calm,Afternoon,Relaxing,0.8,61,936
Kal Ho Naa Ho,Sad,Night,Relaxing,0.67,72,937
Shape of You,Energetic,Night,Workout,0.86,63,938
Jhoome Jo Pathaan - Pathaan,Energetic,Evening,Workout,1.0,118,939
Apna Bana Le - Bhediya,Happy,Night,Relaxing,0.51,107,940
Teenpatey - Tribal Rain,Happy,Morning,Studying,0.98,112,941
Kesariya - Brahmastra,Happy,Evening,Studying,0.48,126,942
Heeriye - Jasleen Royal,Calm,Evening,Chilling,0.65,110,943
Senorita,Energetic,Morning,Workout,0.8,87,944
Apna Bana Le - Bhediya,Happy,Morning,Studying,0.6,81,945
Yo Mann Ta Mero Nepali Ho,Sad,Afternoon,Relaxing,0.37,118,946
Bekhayali,Happy,Night,Workout,0.8,72,947
As It Was - Harry Styles,Sad,Afternoon,Studying,0.61,99,948
Paint The Town Red - Doja Cat,Happy,Night,Studying,0.73,108,949
Jhoome Jo Pathaan - Pathaan,Happy,Morning,Workout,0.48,64,950
Maya Pirati - Swoopna Suman,Happy,Afternoon,Relaxing,0.41,65,951
Blinding Lights,Calm,Afternoon,Chilling,0.44,75,952
Tera Ban Jaunga,Sad,Afternoon,Relaxing,0.6,73,953
Blinding Lights,Calm,Morning,Relaxing,0.52,108,954
As It Was - Harry Styles,Energetic,Evening,Studying,0.51,92,955
Sa Karnali,Energetic,Evening,Relaxing,0.8,72,956
Saili,Energetic,Evening,Relaxing,0.68,125,957
Jhoome Jo Pathaan - Pathaan,Energetic,Afternoon,Relaxing,0.95,123,958
Laija Re,Sad,Night,Relaxing,0.7,69,959
Maya Pirati - Swoopna Suman,Happy,Night,Studying,0.39,75,960
Dance The Night - Dua Lipa,Happy,Evening,Studying,0.63,121,961
Senorita,Energetic,Morning,Chilling,0.92,70,962
Tere Vaaste - Zara Hatke Zara Bachke,Sad,Afternoon,Workout,0.96,81,963
Teenpatey - Tribal Rain,Happy,Evening,Studying,0.44,121,964
Sannani - VTEN,Sad,Morning,Workout,0.89,79,965
Maya Pirati - Swoopna Suman,Energetic,Afternoon,Chilling,0.83,127,966
Senorita,Happy,Evening,Workout,0.9,109,967
As It Was - Harry Styles,Calm,Night,Chilling,0.4,113,968
Sannani - VTEN,Sad,Morning,Studying,0.65,75,969
Memories,Calm,Morning,Studying,0.55,127,970
Heeriye - Jasleen Royal,Happy,Night,Studying,0.62,98,971
Maya Pirati - Swoopna Suman,Energetic,Night,Relaxing,0.84,130,972
Calm Down - Rema,Energetic,Morning,Workout,0.7,115,973
Bekhayali,Energetic,Evening,Studying,0.63,107,974
Shayad,Energetic,Morning,Chilling,0.38,116,975
Yo Mann Ta Mero Nepali Ho,Energetic,Evening,Chilling,0.32,125,976
Laija Re,Sad,Evening,Chilling,0.66,100,977
Perfect,Happy,Night,Studying,0.69,121,978
Sannani - VTEN,Happy,Afternoon,Relaxing,0.99,63,979
Flowers - Miley Cyrus,Calm,Afternoon,Relaxing,0.34,77,980
Jhoome Jo Pathaan - Pathaan,Sad,Night,Studying,0.94,117,981
As It Was - Harry Styles,Happy,Night,Studying,0.66,63,982
Memories,Calm,Night,Chilling,0.39,73,983
Calm Down - Rema,Calm,Afternoon,Chilling,0.4,130,984
Tum Hi Ho,Calm,Afternoon,Relaxing,0.81,122,985
Kesariya - Brahmastra,Sad,Morning,Studying,0.57,63,986
Umer Jasto - Neetesh Jung Kunwar,Energetic,Night,Studying,0.8,83,987
Blinding Lights,Calm,Evening,Relaxing,0.94,67,988
Pasoori Nu - Satyaprem Ki Katha,Calm,Night,Chilling,0.51,108,989
Kal Ho Naa Ho,Happy,Evening,Workout,0.94,81,990
Jhoome Jo Pathaan - Pathaan,Sad,Afternoon,Studying,0.31,108,991
Anti-Hero - Taylor Swift,Happy,Morning,Chilling,0.97,100,992
Bekhayali,Happy,Evening,Chilling,0.48,107,993
Farki Farki - Rohit John Chhetri,Happy,Evening,Chilling,0.95,79,994
Unholy - Sam Smith,Sad,Evening,Studying,0.94,119,995
Teenpatey - Tribal Rain,Happy,Morning,Relaxing,0.47,67,996
Flowers - Miley Cyrus,Happy,Evening,Relaxing,0.84,117,997
As It Was - Harry Styles,Energetic,Morning,Studying,0.97,93,998
Jhoome Jo Pathaan - Pathaan,Happy,Afternoon,Workout,0.47,68,999
Calm Down - Rema,Sad,Morning,Relaxing,0.47,98,1000
